aries	2012-01-01	 Evitarás cualquier discusión y buscarás lugares que te den energía positiva y tranquilidad. Es bueno que te apartes de personas que no son de tu agrado hoy y que pases una jornada lúdica. Tu mente te lo va a agradecer y es muy posible que se cumpla un capricho que tienes.
tauro	2012-01-01	 Los últimos acontecimientos que te han sucedido te han dejado buen sabor de boca. Procura que las relaciones que has reavivado tengan una continuidad, porque te conviene mucho ahora, ya que es muy probable que hayas pasado por una etapa de alejamiento de un hijo o de otro familiar.
geminis	2012-01-01	 Te tomarás un respiro para estar a tus anchas, casi seguro que en cierta soledad y eso puede verse interrumpido por una llamada de teléfono que te dará que pensar y que quizá te deje algo preocupado. No intentes evadirte de los problemas, hazles frente.
cancer	2012-01-01	 Hay signos en el ambiente que te harán frenar a la hora de decir ciertas palabras, porque comprenderás que no es el momento oportuno y que puedes estropear una situación que hoy está calmada, sobre todo con la pareja. Es mejor que lo sepa con tu actitud, que tendrás que endurecer de ahora en adelante en algunos aspectos. Puede llevarse una sorpresa.
leo	2012-01-01	 No sería de extrañar que alguien que esperas se comporte en estas fechas de una manera más cercana o preocupada por hijos o familia, no lo haga. No merece la pena que te lleves un disgusto, por mucho que pienses que su comportamiento es inaceptable. Simplemente, toma nota.
virgo	2012-01-01	 Gracias a tu previsión en lo doméstico, podrás estar más descansado y sin tantas obligaciones como en días anteriores. Delega en otras personas cierta parte de ellas, podrás comprobar que no eres imprescindible y que todo funciona adecuadamente.
libra	2012-01-01	 Si tienes pareja desde hace poco, mantente a la expectativa en sus asuntos familiares ya que no los conoces demasiado. Te servirá mucho tu talante más discreto y amable si surge un encuentro. Acertarás con las palabras y con las actitudes y resultarás encantador.
escorpio	2012-01-01	 Buscas el camino apropiado para que tus habilidades, quizá artísticas, o virtudes sean más y mejor vistas por los demás. Sabrás obtener mejores rendimientos si te centras en ellas y no te dispersas en un montón de actividades que al fin y al cabo no te aportan nada.
sagitario	2012-01-01	 Acallarás ciertos comentarios o rumores sobre ti que no te han gustado nada y que incluso te han dolido bastante. Vas a buscar el momento oportuno de encararte con la persona que los ha difundido. Hazlo, pero sin dejarte llevar por la ira o los palabras altisonantes.
capricornio	2012-01-01	 Habrá una cierta tendencia al escepticismo o a mantenerte en una posición de espectador y no pasar a la acción, sobre todo en temas familiares, así que no sería de extrañar que alguien te hiciera algún reproche por ello. Debes estar más participativo y menos callado.
acuario	2012-01-01	 Procura no ser demasiado arrollador con las palabras porque entonces puedes llevarte por delante algo que te interesa. Es mejor ser cauteloso con casi todo, porque ese exceso de confianza que a veces te domina, puede hacerte quedar en ridículo.
piscis	2012-01-01	 Consigues acudir a un lugar o a un encuentro que te hacía mucha ilusión porque allí esperas ver a alguien a quien realmente aprecias mucho y que se había mostrado distante o esquivo contigo en los últimos tiempos. Será una oportunidad inmejorable para restañar las heridas.
aries	2012-01-02	 Tienes cerca a una persona que en el fondo es muy parecida a ti y con la que disfrutas charlando de intereses comunes y que te aporta algo. Persigue su amistad hoy, ya que con el tiempo puede convertirse en algo muy sólido, mucho más de lo que te figuras.
tauro	2012-01-02	 No te muestres temeroso ni en segunda fila si tienes una reunión de trabajo que puede ser decisiva para encarar el año laboral. Muestra tu opinión con fuerza, tendrás buenas razones y datos que te llevarán a demostrar tus conocimientos o la labor que has realizado ya.
geminis	2012-01-02	 Retomas tu seguridad en ti mismo, pero si se trata de trabajo o estudios, no permitas que eso signifique dejarlo para el último momento. Aprovecha más el tiempo, aunque estés de vacaciones. Te alegrarás más adelante de haber hecho este esfuerzo, ya que tendrás planes más interesantes que los de ahora.
cancer	2012-01-02	 Haces el propósito de no caer en esa cierta indolencia que a veces te ataca y que te deja con las fuerzas mermadas. Tómate un tiempo de reflexión para saber actuar cuando sientes esa pereza. Será un buena terapia personal para comenzar el año.
leo	2012-01-02	 En el trabajo, vas a conseguir arreglar tu agenda u organizarlo de una manera muy eficiente para atender esas otras cuestiones más personales que te hacen mucha ilusión. Nadie podrá decirte nada porque todo lo tendrás terminado a su tiempo y a la entera satisfacción de los jefes.
virgo	2012-01-02	 Físicamente, hoy no tienes que obsesionarte con nada, ya que un cambio en algún aspecto va a mejorar sustancialmente tu salud y tus fuerzas, también las mentales. Vuelven a ti esas ganas de hacer cosas, de variar, de pensar e incluso de potenciar tu imagen.
libra	2012-01-02	 Distribuye bien tu tiempo, sin dejarte llevar por los intereses de los demás, en especial de los compañeros de trabajo porque alguien intentará salirse con la suya sin importarle nada más. Con tranquilidad y mano izquierda, pero sin olvidar la firmeza, sabrás poner las cosas en su sitio.
escorpio	2012-01-02	 Es posible que hayas terminado hace poco una relación que ha supuesto bastante para ti, pero que no había llegado a cuajar del todo. Respira hondo y olvida. Es momento de mantener la calma y darse aire afectivo. Sabes que aún tienes otras oportunidades.
sagitario	2012-01-02	 Alguien te va a poner a prueba. Si tienes una relación amorosa, será, probablemente en ese contexto, así que debes de tener cuidado con ciertas mentiras o con algo que le has ocultado y que ahora sale a relucir. No será raro que tengas que soportar un ataque de celos.
capricornio	2012-01-02	 Cuidado con la tentación de contemplar las cosas, en especial las afectivas, desesperanzado. Aunque no lo veas, hay ahora expectativas bastante buenas ya que el Sol te infunde ánimos para ello. Pero tendrás que poner algo más de tu parte.
acuario	2012-01-02	 No será todo fácil en temas de negocios, ya que has hecho alguna apuesta arriesgada, llevado de una intuición y con pocos datos objetivos. Debes dar marcha atrás en la medida de lo posible. Los socios o los que comparten ese asunto te pedirán explicaciones.
piscis	2012-01-02	 Estarás de buen ánimo y contento con los resultados de una gestión o de un trabajo que te han encomendado y que significa mucho para ti y tu futuro profesional. Los pasos que desde a partir de ahora estarán mejor fundamentados porque tu imagen ha mejorado mucho.
aries	2012-01-03	 Vas a tomar una decisión importante respecto a buscar cierta clase de ayuda, bien sea en temas domésticos o profesionales. Necesitas descargarte de obligaciones cuanto antes para tener espacio propio y una organización más racional de tus actividades.
tauro	2012-01-03	 Te llegan ciertas influencias renovadoras, sobre todo en las ideas, quizá por contactos con el extranjero. Tu mente estará muy abierta a todo eso y lo aprovechará bien, con rendimientos que pueden significar pasos adelante, sobre todo en cuestión de estudios.
geminis	2012-01-03	 Procura no decir una cosa a una persona y otra muy distinta a otra, porque si se ponen en contacto no vas a salir muy bien parado, ya que te tacharán de mentiroso o crearás un malentendido. Es mejor que pienses muy bien cuáles son tus argumentos y no los varíes.
cancer	2012-01-03	 Vas a sentir mucha curiosidad por todo lo que signifique misterio o esté poco al alcance de casi todo el mundo. Será una atracción por una disciplina nueva o algún asunto poco terrenal, más bien espiritual. Ten precaución y no te comprometas a nada que no conozcas bien.
leo	2012-01-03	 Defender tus intereses no es malo, sólo tienes que saber hacerlo con convicción y dando razones contundentes y objetivas. Cuando te lo propones, eres muy capaz de arrimar el ascua a tu sardina, especialmente si está relacionado con tu pareja o con los hijos.
virgo	2012-01-03	 Hoy será un día bastante centrado en los asuntos de la economía, en especial si tienes algún negocio porque un dato o una información te ayudarán a verlo todo claro. Eso significa que debes reorganizar tus recursos, y que los pactos que puedas hacer con socios o proveedores sean más duraderos.
libra	2012-01-03	 No seas ingenuo y pienses que alguien que se muestra muy adulador dice en realidad lo que piensa, es sólo una pose. Averigua las intenciones reales de esa actitud porque tiene un fin determinado que puede estar relacionado con un asunto financiero.
escorpio	2012-01-03	 Hay novedades laborales porque es tiempo de cambios y de reorganización en muchos sentidos, así que debes estar preparado ya, sin que te pille desprevenido. Actúa sin precipitarte, es mejor que veas cómo toman posiciones algunas personas con poder.
sagitario	2012-01-03	 Sigue complicado el panorama con la pareja, y más si intentas convencerla de hacer algo que no le apetece demasiado, aunque a ti te guste. Negocia, es la única manera en la que podrás salirte con la tuya, porque las posturas inflexibles no mejorarán nada.
capricornio	2012-01-03	 Es muy probable que tengas que regresar a ocuparte de asuntos laborales antes de lo planeado, pero no será negativo, aunque te cueste asumirlo ahora, ya que puede significar que eres muy necesario, lo que afianzará tu posición. Conseguirás algunos beneficios.
acuario	2012-01-03	 Vuelves a sentir las ganas de dejar de lado todo aquello que te ata a un lugar o a una circunstancia que no te permite cumplir tus sueños de independencia. Pero te darás cuenta de que en algunos aspectos de tu vida, no puedes dar marcha atrás, tienes que asumir las responsabilidades.
piscis	2012-01-03	 Si estás atento a los comentarios que hay a tu alrededor, podrás evitar un problema relacionado con vecinos o conocidos que puede influir en tu vida cotidiana. Sabrás atajarlo antes de que realmente sea algo muy molesto para la convivencia.
aries	2012-01-04	 La actividad mental va a estar muy viva y enérgica, pero un tanto a la defensiva ante las opiniones ajenas. Si mantienes un poco la calma, las cosas funcionarán mejor. No te opongas de plano a todo lo que digan, intenta mantener los prejuicios aparte y ser más objetivo.
tauro	2012-01-04	 Has tenido mucha paciencia con un asunto económico que no ha resultado bien, pero esa tendencia va a cambiar y comienzas a ver frutos mucho más sólidos. Eso te hará ponerte de buen humor y estar seguro de que has acertado. Lo celebrarás con socios o con amigos.
geminis	2012-01-04	 Ves pensando en mejorar tu salud, en estar más pendiente de ella con un chequeo o una visita a un especialista que te dará muy buenos consejos o una dieta. No es necesario que sea hoy mismo, pero sí lo antes posible. Vas a poder prevenir algún achaque.
cancer	2012-01-04	 Te tomarás tu tiempo para hacer las labores domésticas con mucha calma, ya que es muy posible que tengas unos días de vacaciones. No tendrás que ir con prisa hoy, acelerado y con la sensación de llegar tarde. Te convienen mucho estos momentos de relajación.
leo	2012-01-04	 Hoy vas a tener las ideas muy claras para llevar la iniciativa en la organización de  cualquier tipo de trabajo o un evento relacionado con un grupo numeroso de personas. Lo harás con soltura y todo saldrá tal y como estaba planeado. Pero puede ser un poco agotador físicamente.
virgo	2012-01-04	 Si te planteas porqué un amigo no está demasiado dispuesto a hacer lo que tu quieres o a escuchar algo que necesitas contarle, piensa que te has equivocado en algo. Quizá debes dar marcha atrás en algún aspecto y respetar su postura, que no está tan equivocada.
libra	2012-01-04	 Si no tienes pareja, se avecina una oportunidad de conocer a una persona que puede ser bastante interesante en el plano afectivo. No será, desde luego, un amor a primera vista, aunque te gustaría, pero será agradable y podrás compartir momentos muy divertidos, interesantes.
