sign	date	prediction
aries	2020-01-01	 Puede que hoy eches en falta algo relacionado con el deporte o el ejercicio, pero por lo menos, no dejes de dar un buen paseo para equilibrar los excesos de comida o los cambios de hábitos de estos días. Proponte empezar el año saludablemente.
tauro	2020-01-01	 No te gusta demasiado hablar de dinero, aunque sueles tener tus cuentas corrientes bien organizadas y lo económico es algo que controlas a rajatabla, pero hoy no te va a quedar más remedio que hacerlo porque alguien pone ese tema sobre la mesa. No discutas.
geminis	2020-01-01	 Será una jornada en la que querrás mucha calma y poco ajetreo porque necesitas descansar y no preocuparte de nada por un par de días al menos. Lo conseguirás si te alejas de tus lugares habituales y buscas un paisaje distinto o un paseo por el campo.
cancer	2020-01-01	 Vas a cuidar mucho de alguien que te necesita y eso quizá hoy te de un poco de tristeza porque no podrás hacer otros planes más apetecibles. Pero no debes estar de mal humor por ello. Dentro de poco te espera un viaje o una sorpresa muy agradable.
leo	2020-01-01	 Si vas a conducir, extrema las precauciones y si haces cualquier viaje o desplazamiento no dejes de tener todas las seguridades posibles contigo. Es importante hoy que no te despistes y si no has descansado bien, mejor déjalo para mañana.  
virgo	2020-01-01	 No creas que porque nadie lo sepa puedes hacer algo que no es demasiado correcto en una relación que mantienes con alguien y que no está demasiado clara. Es hora de que empieces a clarificar toda esa situación, y hoy tendrás tiempo de pensar en ello.
libra	2020-01-01	 Ojo hoy con las redes sociales porque en ellas puede haber mucho de bueno y servir para unir a las personas o todo lo contrario. No dejes que te engañe una foto o un comentario que parece lo que no es. Si tienes dudas sobre alguien, pregunta directamente a esa persona.
escorpio	2020-01-01	 Hay ciertas rutinas de este día que te gustan mucho y hoy vas a saber guardar todas esas tradiciones y vas a disfrutar de ellas. Las charlas con amigos o familia serán bastante agradables y te sentirás con comodidad en cualquier parte.  
sagitario	2020-01-01	 Si has tenido una pequeña discusión con un familiar hace unos días o ha surgido un enfrentamiento, hoy puedes solucionarlo si crees que ha sido culpa tuya. Si por el contrario crees que ha sido la otra persona la culpable, debes perdonarla cuanta antes.
capricornio	2020-01-01	 Vas a empezar a pensar hoy en ciertos compromisos profesionales que tendrás la semana que viene y quizá hasta puedas dedicarles un tiempo de preparación. Pero también es importante que descanses más mental y físicamente.  
acuario	2020-01-01	 Aprovecha hoy la oportunidad de pasar una tarde tranquila en casa o dedicare a alguna actividad cultural o de ocio que te traiga buen humor. No exijas demasiado a los demás si no les apetece salir, aprender a estar solo es un ejercicio que merece la pena.
piscis	2020-01-01	 Alguien te cuenta hoy un hecho que te ayudará a comprender tu entorno con otra perspectiva. Te vas a interesar por analizar algo del pasado que es muy útil para tu presente. Se avecina un viaje interesante en el que van a surgir opciones de trabajo.
aries	2020-01-02	 Retomas un trabajo después de unas vacaciones y eso es algo que te puede poner un poco de mal humor o al menos darte bastante pereza. Debes de pensar en la suerte que tienes y en lo importante que es que puedas estar activo y sin problemas económicos.
tauro	2020-01-02	 No debes conformarte con lo que tienes en estos momentos porque puedes llegar a mucho más sobre todo en el plano más personal. Salir de tu zona de confort es un buen propósito para llevar a cabo este año. Ponte a trabajar para mejorar en ciertos aspectos.
geminis	2020-01-02	 No es día para estar a la defensiva y pensar mal de todo lo que te rodea. Eso no te va a favorecer en ningún aspecto, así que déjate llevar por lo que suceda sin poner demasiadas pegas a nada. Alguien te sonríe y debes agradecer esa sonrisa que te cambiará el día.
cancer	2020-01-02	 Desde luego, las mareas emocionales son muy frecuentes en ti y hoy puede que sientas cierto vaivén en ese sentido. Será un día de altibajos, pero por la noche te sentirás mejor porque alguien te reconforta, te escucha y te muestra que no todo es tan malo como crees.
